city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
severo-kurilsk,50.6789,156.125,288.44,86,50,0.52,RU,1659932781
itapirapua,-15.8233,-50.6133,297.43,30,2,1.77,BR,1659932782
male,4.1748,73.5089,302.12,79,75,6.17,MV,1659932783
jabinyanah,35.035,10.9081,299.04,70,0,3.82,TN,1659932783
puerto ayora,-0.7393,-90.3518,292.34,97,41,2.68,EC,1659932784
octeville,49.6261,-1.6435,286.42,67,0,1.03,FR,1659932785
petatlan,17.5167,-101.2667,298.27,88,85,1.36,MX,1659932786
georgetown,5.4112,100.3354,305.12,64,20,5.66,MY,1659932787
devils lake,48.1128,-98.8651,288.14,91,0,3.6,US,1659932787
kanlagay,5.8757,121.2915,302.2,66,91,1.98,PH,1659932788
praia,14.9215,-23.5087,299.45,94,75,3.6,CV,1659932789
ancud,-41.8697,-73.8203,278.83,89,5,1.6,CL,1659932790
warrington,53.3925,-2.5802,287.94,91,19,1.03,GB,1659932529
kaitangata,-46.2817,169.8464,278.97,58,37,5.77,NZ,1659932791
fort saint james,54.4333,-124.25,290.89,52,36,2.86,CA,1659932792
tessalit,20.1986,1.0114,304.47,35,1,3.12,ML,1659932793
meiganga,6.5167,14.3,290.53,98,100,1.58,CM,1659932794
mianwali,32.5741,71.5264,308.03,51,67,4.26,PK,1659932794
naze,28.3667,129.4833,304.66,69,4,2.54,JP,1659932795
saskylakh,71.9167,114.0833,287.82,54,100,4.38,RU,1659932796
hermanus,-34.4187,19.2345,283.6,84,41,2.26,ZA,1659932710
manokwari,-0.8667,134.0833,301.84,68,85,2.71,ID,1659932797
uglovskoye,51.3557,80.1942,299.09,33,88,2.88,RU,1659932798
qaanaaq,77.484,-69.3632,275.91,54,7,3.39,GL,1659932799
tabuk,17.4189,121.4443,299.94,80,100,2.16,PH,1659932799
te anau,-45.4167,167.7167,276.85,84,52,2.57,NZ,1659932800
hasaki,35.7333,140.8333,308.31,77,52,10.17,JP,1659932801
bambous virieux,-20.3428,57.7575,294.94,94,40,1.54,MU,1659932802
bengkulu,-3.8004,102.2655,302.67,63,12,3.22,ID,1659932803
matagami,49.7502,-77.6328,281.21,87,20,1.03,CA,1659932803
hailar,49.2,119.7,293.69,35,2,9.41,CN,1659932804
port lincoln,-34.7333,135.8667,287.5,55,0,1.67,AU,1659932805
santo domingo,18.5001,-69.9886,299.84,86,98,1.79,DO,1659932617
rocha,-34.4833,-54.3333,279.06,92,49,1.39,UY,1659932790
hilo,19.7297,-155.09,301.64,80,40,3.09,US,1659932807
vagur,61.4732,-6.8119,284.48,99,100,7.36,FO,1659932807
hobart,-42.8794,147.3294,286.07,67,20,2.06,AU,1659932808
chokurdakh,70.6333,147.9167,291.72,29,97,7.68,RU,1659932809
grand forks,47.9417,-97.4337,287.11,88,75,2.57,US,1659932810
albany,42.6001,-73.9662,297.95,88,0,1.36,US,1659932551
aguimes,27.9054,-15.4461,293.52,83,40,11.32,ES,1659932811
kant,27.8,79.8,305.59,61,30,3.79,IN,1659932812
deputatskiy,69.3,139.9,285.44,81,100,1.46,RU,1659932750
ayan,56.45,138.1667,285.78,95,100,11.38,RU,1659932813
kurumkan,54.3,110.3,287.38,70,92,2.35,RU,1659932654
muheza,-5.1667,38.7833,292.73,85,98,2.08,TZ,1659932814
namatanai,-3.6667,152.4333,301.35,73,54,3.44,PG,1659932815
cayenne,4.9333,-52.3333,299.87,1,0,0,GF,1659932816
baoro,5.6667,15.9667,291.53,98,99,1.24,CF,1659932817
east london,-33.0153,27.9116,287.67,100,75,11.83,ZA,1659932817
luebo,-5.35,21.4167,293.96,39,62,1.05,CD,1659932818
omsukchan,62.5333,155.8,296.67,47,80,3.3,RU,1659932819
ilulissat,69.2167,-51.1,279.16,93,100,0,GL,1659932820
new norfolk,-42.7826,147.0587,285.87,42,3,0.93,AU,1659932821
gamba,-2.65,10,293.62,81,80,1.74,GA,1659932822
sakakah,29.9697,40.2064,306.91,22,27,2.92,SA,1659932823
la ronge,55.1001,-105.2842,294.27,64,40,2.57,CA,1659932824
iqaluit,63.7506,-68.5145,278,87,75,0,CA,1659932824
vao,-22.6667,167.4833,295.57,81,4,7.93,NC,1659932825
puerto escondido,15.85,-97.0667,298.71,88,100,3.06,MX,1659932826
vauvert,43.7,4.2833,297.24,43,0,4.12,FR,1659932827
esperance,-33.8667,121.9,290.19,63,31,8.58,AU,1659932828
emba,48.8264,58.1442,298.59,43,21,5.92,KZ,1659932828
hirara,24.8,125.2833,304.3,70,40,4.63,JP,1659932829
izmalkovo,52.6887,37.964,292.29,70,100,3.11,RU,1659932830
piterka,50.6803,47.4454,299.25,36,20,4.87,RU,1659932831
mahebourg,-20.4081,57.7,294.96,94,40,1.54,MU,1659932832
bredasdorp,-34.5322,20.0403,287.2,88,100,1.33,ZA,1659932832
courtenay,49.6866,-124.9936,296.48,53,0,4.63,CA,1659932833
souillac,-20.5167,57.5167,291.36,94,40,1.54,MU,1659932834
narrabri,-30.3167,149.7833,290.11,52,1,1.79,AU,1659932835
noumea,-22.2763,166.4572,298.71,99,54,5.49,NC,1659932705
castro,-24.7911,-50.0119,286.62,96,100,3.03,BR,1659932836
krasnogorskiy,54.6025,61.231,294.68,74,74,3.25,RU,1659932837
srednekolymsk,67.45,153.6833,295.87,31,74,6.42,RU,1659932837
frontino,6.7801,-76.1288,291.36,98,100,0.28,CO,1659932838
thai nguyen,21.5928,105.8442,305.03,61,51,1.35,VN,1659932607
husavik,66.0449,-17.3389,282.17,83,17,5.9,IS,1659932839
touros,-5.1989,-35.4608,295.51,86,19,5.7,BR,1659932840
kruisfontein,-34.0033,24.7314,286.42,92,98,4.49,ZA,1659932741
kenitra,34.261,-6.5802,294.57,88,27,1.16,MA,1659932842
cidreira,-30.1811,-50.2056,287.95,94,100,6.99,BR,1659932842
mosquera,4.7059,-74.2302,284.2,82,20,2.06,CO,1659932843
halifax,44.6453,-63.5724,297.09,91,63,6.17,CA,1659932772
emerald,-23.5333,148.1667,292.78,39,0,5.13,AU,1659932844
kirakira,-10.4544,161.9205,301,73,90,3.34,SB,1659932646
phaltan,17.9833,74.4333,298.46,75,100,3.75,IN,1659932846
moyale,3.5167,39.0584,289.42,68,89,3.83,KE,1659932847
leningradskiy,69.3833,178.4167,273.65,95,99,8.78,RU,1659932847
praia da vitoria,38.7333,-27.0667,295.79,100,20,3.87,PT,1659932848
